yearID,,W,L,Win%,Quartile,IPouts,R,H,2B,3B,HR,BB,SO,SB,RA,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,ERA,WHIP
1914,,74,80,0.480519481,3,4137,4.227272727,8.733766234,1.37012987,0.337662338,0.402597403,3.064935065,3.701298701,0.941558442,4.461038961,0.090909091,0.045454545,9.11038961,0.168831169,2.935064935,4.220779221,2.103896104,0.525974026,0.95,3.06,0.00873492
1914,,69,85,0.448051948,3,4215,3.266233766,7.772727273,0.961038961,0.512987013,0.116883117,2.701298701,3.948051948,0.954545455,3.506493506,0.064935065,0.071428571,8.25974026,0.175324675,2.545454545,3.168831169,1.448051948,0.623376623,0.966,2.7,0.00769053
1914,,64,86,0.426666667,4,4110,4.033333333,8.926666667,1.2,0.6,0.226666667,2.733333333,3.833333333,1.02,4.653333333,0.06,0.04,9.44,0.26,2.96,3.4,1.686666667,0.613333333,0.96,3.56,0.009051095
1914,,71,82,0.464052288,3,4230,3.418300654,8.111111111,1.209150327,0.490196078,0.111111111,2.764705882,5.640522876,1.522875817,4.019607843,0.098039216,0.071895425,8.555555556,0.130718954,3.529411765,3.614379085,2.071895425,0.745098039,0.952,2.85,0.008570899
1914,,62,89,0.410596026,4,4101,3.741721854,8.304635762,1.278145695,0.430463576,0.17218543,3.331125828,4.38410596,0.748344371,4.61589404,0.059602649,0.039735099,9.390728477,0.251655629,2.708609272,4.377483444,1.781456954,0.622516556,0.957,3.59,0.008851015
1914,,81,72,0.529411765,2,4272,3.647058824,8.163398693,1.326797386,0.424836601,0.215686275,2.908496732,4.039215686,1.333333333,3.529411765,0.104575163,0.078431373,8.359477124,0.169934641,2.758169935,3.470588235,1.562091503,0.712418301,0.964,2.38,0.007807336
1914,,81,73,0.525974026,2,4260,3.714285714,8.084415584,1.142857143,0.525974026,0.116883117,3.051948052,4.155844156,1.428571429,3.37012987,0.162337662,0.12987013,7.597402597,0.12987013,3.376623377,5.090909091,1.636363636,0.753246753,0.961,2.54,0.007728187
1915,,47,107,0.305194805,4,4080,3.571428571,8.019480519,1.272727273,0.344155844,0.233766234,3.051948052,4.162337662,0.831168831,4.935064935,0.032467532,0.045454545,9.448051948,0.337662338,3.025974026,3.701298701,1.772727273,0.909090909,0.957,3.96,0.009172078
1915,,101,50,0.668874172,1,4191,4.430463576,8.662251656,1.337748344,0.503311258,0.092715232,3.490066225,3.152317881,0.781456954,3.304635762,0.125827815,0.099337748,7.708609272,0.119205298,2.953642384,4.198675497,1.496688742,0.629139073,0.964,2.39,0.007632249
1915,,70,82,0.460526316,3,4065,4.256578947,8.868421053,1.348684211,0.493421053,0.236842105,3.111842105,4.302631579,1.638157895,4.427631579,0.065789474,0.105263158,8.546052632,0.177631579,3.526315789,3.072368421,1.875,0.677631579,0.955,3.37,0.008909497
1915,,80,72,0.526315789,2,4167,3.526315789,8.342105263,1.085526316,0.493421053,0.092105263,2.059210526,3.263157895,0.861842105,3.684210526,0.105263158,0.052631579,8.236842105,0.190789474,3.111842105,3.282894737,1.565789474,0.631578947,0.963,2.66,0.008170399
1915,,83,69,0.546052632,2,4215,3.828947368,8.019736842,1.519736842,0.375,0.111842105,3.611842105,4.078947368,0.796052632,3.585526316,0.111842105,0.085526316,8.269736842,0.151315789,2.407894737,4.144736842,1.401315789,0.756578947,0.966,2.57,0.007599738
1915,,74,78,0.486842105,3,4080,3.776315789,8.296052632,1.269736842,0.447368421,0.263157895,2.763157895,3.861842105,1.210526316,4.171052632,0.092105263,0.072368421,8.361842105,0.230263158,3.638157895,3.907894737,1.526315789,0.736842105,0.964,3.38,0.008823529
1915,,93,61,0.603896104,1,4203,4.655844156,8.24025974,1.058441558,0.662337662,0.162337662,3.785714286,3.733766234,1.512987013,3.305194805,0.103896104,0.058441558,8.064935065,0.090909091,2.272727273,4.123376623,1.441558442,0.616883117,0.965,2.43,0.007378774
1915,,86,66,0.565789474,1,4191,4.210526316,8.684210526,1.217105263,0.506578947,0.328947368,2.921052632,3.881578947,1.059210526,3.539473684,0.138157895,0.065789474,8.105263158,0.217105263,2.644736842,3.789473684,1.493421053,0.671052632,0.963,2.64,0.007695061
1915,,73,80,0.477124183,3,4197,3.725490196,8.14379085,1.385620915,0.431372549,0.346405229,2.568627451,4.176470588,1.08496732,4.052287582,0.117647059,0.052287582,8.31372549,0.183006536,3.137254902,4.294117647,1.751633987,0.614379085,0.958,3.11,0.008185118
1915,,71,83,0.461038961,3,4296,3.350649351,8.590909091,1.25974026,0.545454545,0.097402597,2.337662338,3.324675325,1.012987013,3.798701299,0.123376623,0.077922078,8.467532468,0.181818182,3.227272727,3.714285714,1.454545455,0.961038961,0.966,2.84,0.008166763
1915,,57,95,0.375,4,4116,3.546052632,7.960526316,1.111842105,0.519736842,0.131578947,3.223684211,4.480263158,0.907894737,4.407894737,0.072368421,0.065789474,8.467105263,0.118421053,3.407894737,4.013157895,1.789473684,0.539473684,0.957,3.13,0.008655248
1915,,100,54,0.649350649,1,4239,5.051948052,8.909090909,1.344155844,0.61038961,0.149350649,4.422077922,3.422077922,1.564935065,3.876623377,0.064935065,0.123376623,8.175324675,0.090909091,3.194805195,3.571428571,1.675324675,0.694805195,0.961,2.86,0.008046801
1915,,81,72,0.529411765,2,4077,3.575163399,7.882352941,1.307189542,0.431372549,0.183006536,2.405228758,3.287581699,0.941176471,3.60130719,0.104575163,0.071895425,7.908496732,0.189542484,2.549019608,3.437908497,1.607843137,0.62745098,0.962,2.82,0.007695008
1915,,80,72,0.526315789,2,4218,3.848684211,8.440789474,1.381578947,0.526315789,0.111842105,2.881578947,3.618421053,1.210526316,3.697368421,0.105263158,0.046052632,8.605263158,0.098684211,2.980263158,3.822368421,1.572368421,0.815789474,0.963,2.6,0.008240061
1915,,69,83,0.453947368,3,4155,3.828947368,8.631578947,1.282894737,0.447368421,0.157894737,2.072368421,3.598684211,1.019736842,4.131578947,0.098684211,0.059210526,8.881578947,0.263157895,2.138157895,4.190789474,1.684210526,0.782894737,0.96,3.11,0.007956489
1915,,69,83,0.453947368,3,4146,3.842105263,7.644736842,1.098684211,0.328947368,0.203947368,3.75,4.401315789,1.302631579,3.868421053,0.078947368,0.013157895,8.368421053,0.269736842,3.401315789,3.677631579,1.414473684,0.776315789,0.966,3.06,0.008516452
1915,,43,109,0.282894737,4,4044,3.585526316,7.921052632,1.203947368,0.473684211,0.105263158,2.868421053,4.171052632,0.835526316,5.842105263,0.039473684,0.013157895,8.934210526,0.144736842,5.440789474,3.868421053,2.223684211,0.776315789,0.947,4.29,0.010663947
